Date;Team;Opponent;For;Against;Venue;Result;Season;MD;Result Margin
08.08.2020;FC Khimki;CSKA Moscow;0;2;H;L;2020/21;1;-2
08.08.2020;CSKA Moscow;FC Khimki;2;0;A;W;2020/21;1;2
08.08.2020;Tambov;Rostov;0;1;H;L;2020/21;1;-1
08.08.2020;Rostov;Tambov;1;0;A;W;2020/21;1;1
09.08.2020;Ufa;FK Krasnodar;0;3;H;L;2020/21;1;-3
09.08.2020;FK Krasnodar;Ufa;3;0;A;W;2020/21;1;3
09.08.2020;Arsenal Tula;Akhmat Grozny;0;0;H;D;2020/21;1;0
09.08.2020;Akhmat Grozny;Arsenal Tula;0;0;A;D;2020/21;1;0
09.08.2020;Spartak Moscow;Sochi;2;2;H;D;2020/21;1;0
09.08.2020;Sochi;Spartak Moscow;2;2;A;D;2020/21;1;0
10.08.2020;Ural;Dinamo Moscow;0;2;H;L;2020/21;1;-2
10.08.2020;Dinamo Moscow;Ural;2;0;A;W;2020/21;1;2
11.08.2020;Rotor Volgograd;Zenit St Petersburg;0;2;H;L;2020/21;1;-2
11.08.2020;Zenit St Petersburg;Rotor Volgograd;2;0;A;W;2020/21;1;2
11.08.2020;Rubin Kazan;Lokomotiv Moscow;0;2;H;L;2020/21;1;-2
11.08.2020;Lokomotiv Moscow;Rubin Kazan;2;0;A;W;2020/21;1;2
14.08.2020;Arsenal Tula;Ufa;2;3;H;L;2020/21;2;-1
14.08.2020;Ufa;Arsenal Tula;3;2;A;W;2020/21;2;1
14.08.2020;Sochi;FC Khimki;1;1;H;D;2020/21;2;0
14.08.2020;FC Khimki;Sochi;1;1;A;D;2020/21;2;0
14.08.2020;Spartak Moscow;Akhmat Grozny;2;0;H;W;2020/21;2;2
14.08.2020;Akhmat Grozny;Spartak Moscow;0;2;A;L;2020/21;2;-2
15.08.2020;Dinamo Moscow;Rotor Volgograd;0;0;H;D;2020/21;2;0
15.08.2020;Rotor Volgograd;Dinamo Moscow;0;0;A;D;2020/21;2;0
15.08.2020;Rubin Kazan;Ural;1;1;H;D;2020/21;2;0
15.08.2020;Ural;Rubin Kazan;1;1;A;D;2020/21;2;0
15.08.2020;CSKA Moscow;Tambov;2;1;H;W;2020/21;2;1
15.08.2020;Tambov;CSKA Moscow;1;2;A;L;2020/21;2;-1
15.08.2020;Lokomotiv Moscow;FK Krasnodar;1;0;H;W;2020/21;2;1
15.08.2020;FK Krasnodar;Lokomotiv Moscow;0;1;A;L;2020/21;2;-1
15.08.2020;Rostov;Zenit St Petersburg;0;2;H;L;2020/21;2;-2
15.08.2020;Zenit St Petersburg;Rostov;2;0;A;W;2020/21;2;2
18.08.2020;Sochi;Rubin Kazan;3;2;H;W;2020/21;3;1
18.08.2020;Rubin Kazan;Sochi;2;3;A;L;2020/21;3;-1
18.08.2020;Tambov;FC Khimki;1;0;H;W;2020/21;3;1
18.08.2020;FC Khimki;Tambov;0;1;A;L;2020/21;3;-1
18.08.2020;FK Krasnodar;Arsenal Tula;2;0;H;W;2020/21;3;2
18.08.2020;Arsenal Tula;FK Krasnodar;0;2;A;L;2020/21;3;-2
19.08.2020;Ufa;Spartak Moscow;1;1;H;D;2020/21;3;0
19.08.2020;Spartak Moscow;Ufa;1;1;A;D;2020/21;3;0
19.08.2020;Ural;Lokomotiv Moscow;1;1;H;D;2020/21;3;0
19.08.2020;Lokomotiv Moscow;Ural;1;1;A;D;2020/21;3;0
19.08.2020;Akhmat Grozny;Rotor Volgograd;3;1;H;W;2020/21;3;2
19.08.2020;Rotor Volgograd;Akhmat Grozny;1;3;A;L;2020/21;3;-2
19.08.2020;Dinamo Moscow;Rostov;2;0;H;W;2020/21;3;2
19.08.2020;Rostov;Dinamo Moscow;0;2;A;L;2020/21;3;-2
19.08.2020;Zenit St Petersburg;CSKA Moscow;2;1;H;W;2020/21;3;1
19.08.2020;CSKA Moscow;Zenit St Petersburg;1;2;A;L;2020/21;3;-1
22.08.2020;Ural;FK Krasnodar;1;0;H;W;2020/21;4;1
22.08.2020;FK Krasnodar;Ural;0;1;A;L;2020/21;4;-1
22.08.2020;FC Khimki;Akhmat Grozny;1;2;H;L;2020/21;4;-1
22.08.2020;Akhmat Grozny;FC Khimki;2;1;A;W;2020/21;4;1
22.08.2020;Arsenal Tula;Dinamo Moscow;2;0;H;W;2020/21;4;2
22.08.2020;Dinamo Moscow;Arsenal Tula;0;2;A;L;2020/21;4;-2
22.08.2020;Zenit St Petersburg;Tambov;4;1;H;W;2020/21;4;3
22.08.2020;Tambov;Zenit St Petersburg;1;4;A;L;2020/21;4;-3
22.08.2020;CSKA Moscow;Rubin Kazan;1;2;H;L;2020/21;4;-1
22.08.2020;Rubin Kazan;CSKA Moscow;2;1;A;W;2020/21;4;1
22.08.2020;Rotor Volgograd;Sochi;1;2;H;L;2020/21;4;-1
22.08.2020;Sochi;Rotor Volgograd;2;1;A;W;2020/21;4;1
23.08.2020;Ufa;Rostov;0;1;H;L;2020/21;4;-1
23.08.2020;Rostov;Ufa;1;0;A;W;2020/21;4;1
23.08.2020;Spartak Moscow;Lokomotiv Moscow;2;1;H;W;2020/21;4;1
23.08.2020;Lokomotiv Moscow;Spartak Moscow;1;2;A;L;2020/21;4;-1
25.08.2020;Tambov;Sochi;0;1;H;L;2020/21;5;-1
25.08.2020;Sochi;Tambov;1;0;A;W;2020/21;5;1
25.08.2020;Arsenal Tula;FC Khimki;1;1;H;D;2020/21;5;0
25.08.2020;FC Khimki;Arsenal Tula;1;1;A;D;2020/21;5;0
