Date,Team,Opponent,scored,missed,Venue,Result,Season,MD,Result Margin,target,total_over_0_5,total_over_1,total_over_1_5,no_coefs,avg_scored,top_club,home_team,opponent_avg_missed,opponent_top_club,transitive_wins,last_rel_result,positions_diff,prev_target,no_prev_target,season_second_part
2020-08-18,Sochi,Rubin Kazan,3,2,H,W,2020/21,3,1,1,0.0,0.0,2.63,0,1.5,0,1,1.5,0,0,3.0,-1.45,0.0,1,0
2020-08-18,Rubin Kazan,Sochi,2,3,A,L,2020/21,3,-1,1,1.46,0.0,0.0,0,0.5,0,0,0.5,0,0,0.0,1.45,0.0,1,0
2020-08-18,Tambov,FC Khimki,1,0,H,W,2020/21,3,1,1,1.47,0.0,0.0,0,0.5,0,1,0.5,0,0,2.0,3.25,0.0,1,0
2020-08-18,FC Khimki,Tambov,0,1,A,L,2020/21,3,-1,0,1.43,0.0,0.0,0,1.5,0,0,1.5,0,0,0.0,-3.25,0.0,1,0
2020-08-18,FK Krasnodar,Arsenal Tula,2,0,H,W,2020/21,3,2,1,0.0,0.0,1.56,0,0.5,1,1,2.0,0,0,3.0,5.05,0.0,1,0
2020-08-18,Arsenal Tula,FK Krasnodar,0,2,A,L,2020/21,3,-2,0,1.77,0.0,0.0,0,1.5,0,0,2.0,1,0,1.0,-5.05,0.0,1,0
2020-08-19,Ufa,Spartak Moscow,1,1,H,D,2020/21,3,0,1,1.61,0.0,0.0,0,2.0,0,1,1.0,1,0,1.0,-2.05,0.0,1,0
2020-08-19,Spartak Moscow,Ufa,1,1,A,D,2020/21,3,0,1,0.0,0.0,2.5,0,2.0,1,0,1.0,0,0,3.0,2.05,0.0,1,0
2020-08-19,Ural,Lokomotiv Moscow,1,1,H,D,2020/21,3,0,1,1.54,0.0,0.0,0,1.5,0,1,2.5,1,0,1.0,-9.15,0.0,1,0
2020-08-19,Lokomotiv Moscow,Ural,1,1,A,D,2020/21,3,0,1,0.0,0.0,1.83,0,1.0,1,0,1.5,0,0,3.0,9.15,0.0,1,0
2020-08-19,Akhmat Grozny,Rotor Volgograd,3,1,H,W,2020/21,3,2,1,0.0,0.0,2.84,0,0.0,0,1,0.5,0,0,2.0,3.6,0.0,1,0
2020-08-19,Rotor Volgograd,Akhmat Grozny,1,3,A,L,2020/21,3,-2,1,1.63,0.0,0.0,0,0.5,0,0,2.0,0,0,0.0,-3.6,0.0,1,0
2020-08-19,Dinamo Moscow,Rostov,2,0,H,W,2020/21,3,2,1,0.0,0.0,2.26,0,2.5,1,1,2.0,0,0,1.0,-0.65,0.0,1,0
2020-08-19,Rostov,Dinamo Moscow,0,2,A,L,2020/21,3,-2,0,1.61,0.0,0.0,0,0.0,0,0,0.5,1,0,1.0,0.65,0.0,1,0
2020-08-19,Zenit St Petersburg,CSKA Moscow,2,1,H,W,2020/21,3,1,1,0.0,0.0,1.73,0,2.5,1,1,0.5,1,0,1.0,2.7,0.0,1,0
2020-08-19,CSKA Moscow,Zenit St Petersburg,1,2,A,L,2020/21,3,-1,1,1.43,0.0,0.0,0,2.0,1,0,0.5,1,0,1.0,-2.7,0.0,1,0
2020-08-22,Ural,FK Krasnodar,1,0,H,W,2020/21,4,1,1,1.56,0.0,0.0,0,1.0,0,1,0.5,1,0,1.0,-7.933333333333334,0.0,1,0
2020-08-22,FK Krasnodar,Ural,0,1,A,L,2020/21,4,-1,0,0.0,0.0,1.66,0,1.0,1,0,1.0,0,0,1.0,7.933333333333334,0.0,1,0
2020-08-22,FC Khimki,Akhmat Grozny,1,2,H,L,2020/21,4,-1,1,0.0,0.0,2.48,0,0.5,0,1,1.5,0,0,1.0,-5.133333333333334,0.0,1,0
2020-08-22,Akhmat Grozny,FC Khimki,2,1,A,W,2020/21,4,1,1,1.38,0.0,0.0,0,1.5,0,0,1.0,0,1,2.0,5.133333333333334,0.0,1,0
2020-08-22,Arsenal Tula,Dinamo Moscow,2,0,H,W,2020/21,4,2,1,1.7,0.0,0.0,0,1.0,0,1,0.0,1,0,1.0,-3.3333333333333335,0.0,0,0
2020-08-22,Dinamo Moscow,Arsenal Tula,0,2,A,L,2020/21,4,-2,0,0.0,0.0,2.24,0,1.0,1,0,2.5,0,1,3.0,3.3333333333333335,1.0,0,0
2020-08-22,Zenit St Petersburg,Tambov,4,1,H,W,2020/21,4,3,1,0.0,0.0,0.0,1,2.0,1,1,1.0,0,2,1.0,12.533333333333335,0.0,1,0
2020-08-22,Tambov,Zenit St Petersburg,1,4,A,L,2020/21,4,-3,1,1.98,0.0,0.0,0,1.0,0,0,0.5,1,0,1.0,-12.533333333333335,0.0,1,0
2020-08-22,CSKA Moscow,Rubin Kazan,1,2,H,L,2020/21,4,-1,1,0.0,0.0,1.79,0,1.5,1,1,2.0,0,1,1.0,6.533333333333333,0.0,1,0
2020-08-22,Rubin Kazan,CSKA Moscow,2,1,A,W,2020/21,4,1,1,1.6,0.0,0.0,0,1.5,0,0,1.5,1,0,1.0,-6.533333333333333,0.0,1,0
2020-08-22,Rotor Volgograd,Sochi,1,2,H,L,2020/21,4,-1,1,1.47,0.0,0.0,0,0.5,0,1,1.5,0,0,1.0,-5.4,0.0,1,0
2020-08-22,Sochi,Rotor Volgograd,2,1,A,W,2020/21,4,1,1,0.0,0.0,2.39,0,2.0,0,0,1.5,0,1,2.0,5.4,0.0,1,0
2020-08-23,Ufa,Rostov,0,1,H,L,2020/21,4,-1,0,1.5,0.0,0.0,0,2.0,0,1,2.0,0,0,1.0,-3.2,1.0,0,0
2020-08-23,Rostov,Ufa,1,0,A,W,2020/21,4,1,1,1.42,0.0,0.0,0,0.0,0,0,1.5,0,0,3.0,3.2,0.0,0,0
2020-08-23,Spartak Moscow,Lokomotiv Moscow,2,1,H,W,2020/21,4,1,1,0.0,0.0,2.48,0,1.5,1,1,0.5,1,0,1.0,-4.866666666666667,0.0,1,0
2020-08-23,Lokomotiv Moscow,Spartak Moscow,1,2,A,L,2020/21,4,-1,1,0.0,0.0,2.61,0,1.0,1,0,0.5,1,0,1.0,4.866666666666667,0.0,1,0
2020-08-25,Tambov,Sochi,0,1,H,L,2020/21,5,-1,0,1.51,0.0,0.0,0,1.0,0,1,1.5,0,0,1.0,-3.583333333333333,0.0,1,0
2020-08-25,Sochi,Tambov,1,0,A,W,2020/21,5,1,1,0.0,0.0,2.16,0,2.5,0,0,2.0,0,2,1.0,3.583333333333333,0.0,1,0
2020-08-25,Arsenal Tula,FC Khimki,1,1,H,D,2020/21,5,0,1,0.0,0.0,2.02,0,1.0,0,1,1.5,0,0,2.0,8.916666666666668,0.0,1,0
2020-08-25,FC Khimki,Arsenal Tula,1,1,A,D,2020/21,5,0,1,1.58,0.0,0.0,0,0.5,0,0,1.0,0,0,3.0,-8.916666666666668,0.0,1,0
2020-08-26,Lokomotiv Moscow,Akhmat Grozny,2,3,H,L,2020/21,5,-1,1,0.0,0.0,1.99,0,1.0,1,1,1.0,0,0,1.0,9.166666666666668,0.0,1,0
2020-08-26,Akhmat Grozny,Lokomotiv Moscow,3,2,A,W,2020/21,5,1,1,1.56,0.0,0.0,0,2.5,0,0,1.5,1,0,1.0,-9.166666666666668,0.0,1,0
2020-08-26,Rubin Kazan,Ufa,3,0,H,W,2020/21,5,3,1,0.0,0.0,2.53,0,2.0,0,1,1.0,0,0,1.0,-0.8333333333333334,0.0,1,0
2020-08-26,Ufa,Rubin Kazan,0,3,A,L,2020/21,5,-3,0,1.9,0.0,0.0,0,0.5,0,0,2.0,0,0,1.0,0.8333333333333334,0.0,1,0
2020-08-26,Rotor Volgograd,Spartak Moscow,0,1,H,L,2020/21,5,-1,0,1.66,0.0,0.0,0,1.0,0,1,1.0,1,0,1.0,-10.5,0.0,1,0
2020-08-26,Spartak Moscow,Rotor Volgograd,1,0,A,W,2020/21,5,1,1,0.0,0.0,1.76,0,1.5,1,0,2.5,0,1,2.0,10.5,0.0,1,0
2020-08-26,Rostov,Ural,1,0,H,W,2020/21,5,1,1,0.0,0.0,1.76,0,0.5,0,1,0.5,0,0,1.0,5.333333333333333,0.0,1,0
2020-08-26,Ural,Rostov,0,1,A,L,2020/21,5,-1,0,1.66,0.0,0.0,0,1.0,0,0,1.0,0,1,1.0,-5.333333333333333,0.0,1,0
2020-08-26,FK Krasnodar,CSKA Moscow,1,1,H,D,2020/21,5,0,1,0.0,0.0,1.99,0,1.0,1,1,2.0,1,0,1.0,0.8333333333333334,0.0,1,0
2020-08-26,CSKA Moscow,FK Krasnodar,1,1,A,D,2020/21,5,0,1,0.0,0.0,2.61,0,1.0,1,0,0.5,1,1,1.0,-0.8333333333333334,0.0,1,0
2020-08-26,Dinamo Moscow,Zenit St Petersburg,1,0,H,W,2020/21,5,1,1,1.61,0.0,0.0,0,1.0,1,1,1.0,1,0,1.0,-4.833333333333334,0.0,1,0
2020-08-26,Zenit St Petersburg,Dinamo Moscow,0,1,A,L,2020/21,5,-1,0,0.0,0.0,1.96,0,3.0,1,0,1.0,1,0,1.0,4.833333333333334,0.0,1,0
2020-08-29,Spartak Moscow,Arsenal Tula,2,1,H,W,2020/21,6,1,1,0.0,0.0,1.71,0,1.5,1,1,0.5,0,0,3.0,2.6,0.0,1,0
2020-08-29,Arsenal Tula,Spartak Moscow,1,2,A,L,2020/21,6,-1,1,1.66,0.0,0.0,0,1.5,0,0,0.5,1,0,1.0,-2.6,0.0,1,0
2020-08-29,FC Khimki,Rotor Volgograd,1,1,H,D,2020/21,6,0,1,0.0,0.0,2.14,0,1.0,0,1,1.5,0,0,2.0,-0.6000000000000001,0.0,1,0
2020-08-29,Rotor Volgograd,FC Khimki,1,1,A,D,2020/21,6,0,1,1.66,0.0,0.0,0,0.5,0,0,1.5,0,0,2.0,0.6000000000000001,0.0,1,0
2020-08-30,Ufa,Dinamo Moscow,1,1,H,D,2020/21,6,0,1,1.75,0.0,0.0,0,0.0,0,1,1.0,1,1,1.0,-4.1000000000000005,0.0,1,0
2020-08-30,Dinamo Moscow,Ufa,1,1,A,D,2020/21,6,0,1,0.0,0.0,2.79,0,0.5,1,0,2.0,0,1,3.0,4.1000000000000005,0.0,1,0
2020-08-30,Lokomotiv Moscow,Zenit St Petersburg,0,0,H,D,2020/21,6,0,0,1.49,0.0,0.0,0,1.5,1,1,1.0,1,0,1.0,-2.3,0.0,1,0
2020-08-30,Zenit St Petersburg,Lokomotiv Moscow,0,0,A,D,2020/21,6,0,0,0.0,0.0,1.66,0,2.0,1,0,2.5,1,0,1.0,2.3,0.0,1,0
2020-08-30,Akhmat Grozny,CSKA Moscow,0,3,H,L,2020/21,6,-3,0,1.46,0.0,0.0,0,2.5,0,1,1.5,1,0,1.0,-6.4,0.0,1,0
2020-08-30,CSKA Moscow,Akhmat Grozny,3,0,A,W,2020/21,6,3,1,0.0,0.0,1.89,0,1.0,1,0,1.5,0,0,2.0,6.4,0.0,1,0
2020-08-30,Rubin Kazan,Tambov,2,2,H,D,2020/21,6,0,1,0.0,0.0,1.92,0,2.5,0,1,2.5,0,1,2.0,4.300000000000001,0.0,1,0
2020-08-30,Tambov,Rubin Kazan,2,2,A,D,2020/21,6,0,1,1.77,0.0,0.0,0,0.5,0,0,0.5,0,1,3.0,-4.300000000000001,0.0,1,0
2020-08-30,FK Krasnodar,Rostov,1,1,H,D,2020/21,6,0,1,0.0,0.0,1.92,0,0.5,1,1,0.0,0,0,1.0,1.1,0.0,1,0
2020-08-30,Rostov,FK Krasnodar,1,1,A,D,2020/21,6,0,1,1.5,0.0,0.0,0,1.0,0,0,1.0,1,1,1.0,-1.1,0.0,1,0
2020-08-30,Sochi,Ural,0,0,H,D,2020/21,6,0,0,0.0,0.0,1.77,0,1.5,0,1,0.5,0,1,2.0,1.0,0.0,1,0
2020-08-30,Ural,Sochi,0,0,A,D,2020/21,6,0,0,1.67,0.0,0.0,0,0.5,0,0,0.5,0,0,2.0,-1.0,0.0,1,0
2020-12-09,Tambov,Ufa,2,0,H,W,2020/21,7,2,1,0.0,0.0,0.0,1,0.0,0,1,1.0,0,1,1.0,-4.183333333333333,0.0,0,0
2020-12-09,Ufa,Tambov,0,2,A,L,2020/21,7,-2,0,0.0,0.0,0.0,1,2.5,0,0,2.5,0,0,0.0,4.183333333333333,1.0,0,0
2020-12-09,Ural,FC Khimki,3,1,H,W,2020/21,7,2,1,0.0,0.0,0.0,1,0.5,0,1,0.5,0,1,0.0,6.3,0.0,1,0
2020-12-09,FC Khimki,Ural,1,3,A,L,2020/21,7,-2,1,0.0,0.0,0.0,1,1.5,0,0,0.0,0,3,0.0,-6.3,0.0,1,0
